Artifact,SOP,Input or output,Responsible
Övergripande behov,docs\SOP\1.Kravställning\01_vision_och_malbild.md,input,
Vision & målbild,docs\SOP\1.Kravställning\01_vision_och_malbild.md,output,Business Analyst
Övergripande behov,docs\SOP\1.Kravställning\02_affarsmal_och_vardebild.md,input,
Vision & målbild,docs\SOP\1.Kravställning\02_affarsmal_och_vardebild.md,output,Business Analyst
Vision & målbild,docs\SOP\1.Kravställning\03_scope_och_avgransningar.md,input,
Övergripande behov,docs\SOP\1.Kravställning\03_scope_och_avgransningar.md,input,
Scope & avgränsningar,docs\SOP\1.Kravställning\03_scope_och_avgransningar.md,output,Business Analyst
Epics & Capabilities,docs\SOP\1.Kravställning\03_scope_och_avgransningar.md,output,Business Analyst
Scope & avgränsningar,docs\SOP\1.Kravställning\03_scope_och_avgransningar.md,output,Business Analyst
Scope & avgränsningar,docs\SOP\1.Kravställning\04_stakeholderkarta.md,input,
Vision & målbild,docs\SOP\1.Kravställning\04_stakeholderkarta.md,input,
Stakeholderkarta,docs\SOP\1.Kravställning\04_stakeholderkarta.md,output,Business Analyst
Beroendekarta,docs\SOP\1.Kravställning\04_stakeholderkarta.md,output,Business Analyst
Stakeholderkarta,docs\SOP\1.Kravställning\05_domananalys.md,input,
User Stories,docs\SOP\1.Kravställning\05_domananalys.md,input,
Domänmodell,docs\SOP\1.Kravställning\05_domananalys.md,output,Business Analyst
Begreppsmodell,docs\SOP\1.Kravställning\05_domananalys.md,output,Business Analyst
Domänmodell,docs\SOP\1.Kravställning\06_user_journeys.md,input,
User Stories,docs\SOP\1.Kravställning\06_user_journeys.md,input,
Stakeholderkarta,docs\SOP\1.Kravställning\06_user_journeys.md,input,
User journeys,docs\SOP\1.Kravställning\06_user_journeys.md,output,UX
Övergripande behov,docs\SOP\1.Kravställning\06_user_journeys.md,output,UX
User journeys,docs\SOP\1.Kravställning\07_skapa_story_map.md,input,
Domänmodell,docs\SOP\1.Kravställning\07_skapa_story_map.md,input,
Övergripande behov,docs\SOP\1.Kravställning\07_skapa_story_map.md,input,
Story map,docs\SOP\1.Kravställning\07_skapa_story_map.md,output,Business Analyst
Funktionella block,docs\SOP\1.Kravställning\07_skapa_story_map.md,output,Business Analyst
Story map,docs\SOP\1.Kravställning\08_gruppera_i_epics_och_capabilities.md,input,
User Stories,docs\SOP\1.Kravställning\08_gruppera_i_epics_och_capabilities.md,input,
Epics & Capabilities,docs\SOP\1.Kravställning\08_gruppera_i_epics_och_capabilities.md,output,Business Analyst
Epics & Capabilities,docs\SOP\1.Kravställning\09_prioritera_backlog.md,input,
Vision & målbild,docs\SOP\1.Kravställning\09_prioritera_backlog.md,input,
Risker,docs\SOP\1.Kravställning\09_prioritera_backlog.md,input,
Prioriterad backlog,docs\SOP\1.Kravställning\09_prioritera_backlog.md,output,Business Analyst
Vision & målbild,docs\SOP\1.Kravställning\10_definiera_framgangskriterier.md,input,
Prioriterad backlog,docs\SOP\1.Kravställning\10_definiera_framgangskriterier.md,input,
Story map,docs\SOP\1.Kravställning\10_definiera_framgangskriterier.md,input,
KPI / värdemått,docs\SOP\1.Kravställning\10_definiera_framgangskriterier.md,output,Business Analyst
Uppföljningsmodell,docs\SOP\1.Kravställning\10_definiera_framgangskriterier.md,output,Business Analyst
Övergripande behov,docs\SOP\2. Målarkitektur\01_Etablera arkitekturmål.md,input,
Vision & målbild,docs\SOP\2. Målarkitektur\01_Etablera arkitekturmål.md,input,
Scope & avgränsningar,docs\SOP\2. Målarkitektur\01_Etablera arkitekturmål.md,input,
Arkitekturmål,docs\SOP\2. Målarkitektur\01_Etablera arkitekturmål.md,output,Lösningsarkitekt
Arkitekturprinciper,docs\SOP\2. Målarkitektur\01_Etablera arkitekturmål.md,output,Lösningsarkitekt
Arkitekturmål,docs\SOP\2. Målarkitektur\02_Definiera systemlandskap.md,input,
Övergripande behov,docs\SOP\2. Målarkitektur\02_Definiera systemlandskap.md,input,
Beroendekarta,docs\SOP\2. Målarkitektur\02_Definiera systemlandskap.md,input,
Systemlandskap,docs\SOP\2. Målarkitektur\02_Definiera systemlandskap.md,output,Lösningsarkitekt
Systemlandskap,docs\SOP\2. Målarkitektur\03_Definiera domänmodell.md,input,
Begreppsmodell,docs\SOP\2. Målarkitektur\03_Definiera domänmodell.md,input,
Domänmodell,docs\SOP\2. Målarkitektur\03_Definiera domänmodell.md,output,Business Analyst
Begreppsmodell,docs\SOP\2. Målarkitektur\03_Definiera domänmodell.md,output,Business Analyst
Systemlandskap,docs\SOP\2. Målarkitektur\04_Definiera integrationsarkitektu.md,input,
